"buyingcomp","compregion","compcountry","product","complementprod"
"""Electrokit Sweden AB""","""Europe""","""Sweden""","""Adafruit QT Py ESP32-S2 WiFi Dev Board with uFL Antenna Port - STEMMA QT""","""2.4GHz Mini Flexible WiFi Antenna with uFL Connector - 100mm"""
"""Electrokit Sweden AB""","""Europe""","""Sweden""","""Adafruit RFM69HCW Transceiver Radio Bonnet - 868 or 915 MHz - RadioFruit""","""Simple Spring Antenna - 915MHz"""
"""Electrokit Sweden AB""","""Europe""","""Sweden""","""Adafruit RFM69HCW Transceiver Radio Bonnet - 868 or 915 MHz - RadioFruit""","""SMA to uFL/u.FL/IPX/IPEX RF Adapter Cable"""
"""Electrokit Sweden AB""","""Europe""","""Sweden""","""Adafruit STEMMA Soil Sensor - I2C Capacitive Moisture Sensor - JST PH 2mm""","""JST PH 2mm 4-Pin to Female Socket Cable - I2C STEMMA Cable - 200mm"""
"""Electrokit Sweden AB""","""Europe""","""Sweden""","""Adafruit STEMMA Soil Sensor - I2C Capacitive Moisture Sensor - JST PH 2mm""","""JST PH 2mm 4-Pin to Male Header Cable - I2C STEMMA Cable - 200mm"""
"""Electrokit Sweden AB""","""Europe""","""Sweden""","""Adafruit STEMMA Soil Sensor - I2C Capacitive Moisture Sensor - JST PH 2mm""","""STEMMA Cable - 4 Pin JST-PH 2mm Cable–Female/Female - 150mm/6\"" Long"""
"""Electrokit Sweden AB""","""Europe""","""Sweden""","""Brass Heat-Set Inserts for Plastic - M3 x 4mm - 50 pack""","""Heat-Set Insert For Soldering Irons - #4-40 / M3 Inserts - from Virtjoule"""
"""Electrokit Sweden AB""","""Europe""","""Sweden""","""Flex Cable for Raspberry Pi Camera or Display - 50mm / 2\""""","""Adafruit CSI or DSI Cable Extender Thingy for Raspberry Pi"""
"""Electrokit Sweden AB""","""Europe""","""Sweden""","""Heat-Set Insert For Soldering Irons - #4-40 / M3 Inserts - from Virtjoule""","""Brass Heat-Set Inserts for Plastic - M3 x 4mm - 50 pack"""
"""Electrokit Sweden AB""","""Europe""","""Sweden""","""Platinum RTD Sensor - PT100 - 3 Wire 1 meter long""","""Adafruit PT100 RTD Temperature Sensor Amplifier - MAX31865"""
